[14Nov2022 00:00:10.452] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/155716, l='ServerLevel[Vault-Hunters]', x=-815.20, y=16.50, z=-370.50]
[14Nov2022 00:00:10.453] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/155717, l='ServerLevel[Vault-Hunters]', x=-815.20, y=16.50, z=-373.50]
[14Nov2022 00:00:16.047] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/155773, l='ServerLevel[Vault-Hunters]', x=-843.20, y=16.50, z=-368.50]
[14Nov2022 00:00:36.347] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/155929, l='ServerLevel[Vault-Hunters]', x=-815.20, y=16.50, z=-371.50]
[14Nov2022 00:00:37.947] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/155988, l='ServerLevel[Vault-Hunters]', x=-823.20, y=16.50, z=-368.50]
[14Nov2022 00:00:38.147] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/155996, l='ServerLevel[Vault-Hunters]', x=-824.20, y=16.50, z=-369.50]
[14Nov2022 00:00:39.349] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/156041, l='ServerLevel[Vault-Hunters]', x=-830.20, y=16.50, z=-370.50]
[14Nov2022 00:00:42.149] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/156150, l='ServerLevel[Vault-Hunters]', x=-844.20, y=16.50, z=-369.50]
[14Nov2022 00:01:02.249] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/156541, l='ServerLevel[Vault-Hunters]', x=-815.20, y=16.50, z=-371.50]
[14Nov2022 00:01:04.050] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/156563, l='ServerLevel[Vault-Hunters]', x=-824.20, y=16.50, z=-368.50]
[14Nov2022 00:01:04.250] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/156566, l='ServerLevel[Vault-Hunters]', x=-825.20, y=16.50, z=-371.50]
[14Nov2022 00:01:06.849] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/156597, l='ServerLevel[Vault-Hunters]', x=-838.20, y=16.50, z=-372.50]
[14Nov2022 00:01:06.849] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/156598, l='ServerLevel[Vault-Hunters]', x=-838.20, y=16.50, z=-373.50]
[14Nov2022 00:01:27.749] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/156857, l='ServerLevel[Vault-Hunters]', x=-813.20, y=16.50, z=-369.50]
[14Nov2022 00:01:31.747] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/156896, l='ServerLevel[Vault-Hunters]', x=-833.20, y=16.50, z=-373.50]
[14Nov2022 00:01:33.147] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/156912, l='ServerLevel[Vault-Hunters]', x=-840.20, y=16.50, z=-368.50]
[14Nov2022 00:01:56.650] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/157082, l='ServerLevel[Vault-Hunters]', x=-828.20, y=16.50, z=-372.50]
[14Nov2022 00:01:57.851] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/157093, l='ServerLevel[Vault-Hunters]', x=-834.20, y=16.50, z=-370.50]
[14Nov2022 00:01:58.463] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/157109, l='ServerLevel[Vault-Hunters]', x=-837.20, y=16.50, z=-368.50]
[14Nov2022 00:02:20.747] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/157277, l='ServerLevel[Vault-Hunters]', x=-819.20, y=16.50, z=-368.50]
[14Nov2022 00:02:25.147] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/157319, l='ServerLevel[Vault-Hunters]', x=-841.20, y=16.50, z=-373.50]
[14Nov2022 00:02:45.848] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/157476, l='ServerLevel[Vault-Hunters]', x=-815.20, y=16.50, z=-368.50]
[14Nov2022 00:02:45.848] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/157478, l='ServerLevel[Vault-Hunters]', x=-815.20, y=16.50, z=-371.50]
[14Nov2022 00:02:46.647] [Server thread/WARN] [net.minecraft.world.TrackedEntity/]: Fetching packet for removed entity ItemEntity['Air'/157486, l='ServerLevel[Vault-Hunters]', x=-819.20, y=16.50, z=-369.50]
